method,m,Number Of Distinct Elements
HyperLogLog1024,1024,1011333.0849114032
HyperLogLog1024,1024,1045855.6053760841
HyperLogLog1024,1024,1012552.9464615401
HyperLogLog1024,1024,1061643.3753513074
HyperLogLog1024,1024,986303.600039118
HyperLogLog1024,1024,1008306.3573968745
HyperLogLog1024,1024,1020174.0551061424
HyperLogLog1024,1024,984260.0135128038
HyperLogLog1024,1024,1081157.9404479272
HyperLogLog1024,1024,1010141.9178352633
HyperLogLog1024,1024,1051769.0615330162
HyperLogLog1024,1024,1043308.6473728522
HyperLogLog1024,1024,1001014.5231997313
HyperLogLog1024,1024,1062757.858826162
HyperLogLog1024,1024,1043071.0101837701
HyperLogLog1024,1024,993764.1506804744
HyperLogLog1024,1024,986371.7531759291
HyperLogLog1024,1024,1006581.3563356699
HyperLogLog1024,1024,986263.3879667592
HyperLogLog1024,1024,946860.2498449978
HyperLogLog1024,1024,968014.981378447
HyperLogLog1024,1024,1003850.6419906911
HyperLogLog1024,1024,988017.0356501439
HyperLogLog1024,1024,944944.0030696747
HyperLogLog1024,1024,1033916.538879388
HyperLogLog1024,1024,1048115.0853999758
HyperLogLog1024,1024,1030366.9193173848
HyperLogLog1024,1024,980074.4567084004
HyperLogLog1024,1024,1025320.9513686443
HyperLogLog1024,1024,973749.7791825208
HyperLogLog1024,1024,972062.6187663084
HyperLogLog1024,1024,965308.8157472803
HyperLogLog1024,1024,1053629.441058229
HyperLogLog1024,1024,1031664.1407641545
HyperLogLog1024,1024,977100.0030976676
HyperLogLog1024,1024,1002911.5291376989
HyperLogLog1024,1024,1037022.6837222755
HyperLogLog1024,1024,1003120.4218165237
HyperLogLog1024,1024,949424.9975272443
HyperLogLog1024,1024,985480.6735680426
HyperLogLog1024,1024,999142.1829974013
HyperLogLog1024,1024,1003333.8488553804
HyperLogLog1024,1024,1005231.3633223637
HyperLogLog1024,1024,1008485.4088925992
HyperLogLog1024,1024,1042455.6144815729
HyperLogLog1024,1024,1022440.9125347034
HyperLogLog1024,1024,1046162.7186232934
HyperLogLog1024,1024,994405.4446604002
HyperLogLog1024,1024,1028314.3536136488
HyperLogLog2048,2048,983619.5219840832
HyperLogLog2048,2048,1030985.9174257409
HyperLogLog2048,2048,994578.2841417409
HyperLogLog2048,2048,960405.9422226293
HyperLogLog2048,2048,982716.2055549187
HyperLogLog2048,2048,1014047.0652053002
HyperLogLog2048,2048,1016422.3164404893
HyperLogLog2048,2048,1010870.3937560015
HyperLogLog2048,2048,998945.2675565188
HyperLogLog2048,2048,1002059.4100195079
HyperLogLog2048,2048,1001912.7971676339
HyperLogLog2048,2048,1042229.0252059728
HyperLogLog2048,2048,966993.5926538635
HyperLogLog2048,2048,985773.1011083991
HyperLogLog2048,2048,988819.815433963
HyperLogLog2048,2048,989942.2450050542
HyperLogLog2048,2048,1042965.2648196701
HyperLogLog2048,2048,1009837.5506555507
HyperLogLog2048,2048,1018458.4691870951
HyperLogLog2048,2048,993452.4920272729
HyperLogLog2048,2048,1009983.9133409499
HyperLogLog2048,2048,1042036.0094281653
HyperLogLog2048,2048,1023644.4710420137
HyperLogLog2048,2048,985355.3498208981
HyperLogLog2048,2048,975398.911152777
HyperLogLog2048,2048,960572.6641352715
HyperLogLog2048,2048,992782.0161720071
HyperLogLog2048,2048,1004214.1486992725
HyperLogLog2048,2048,997211.9808534401
HyperLogLog2048,2048,965335.7422830401
HyperLogLog2048,2048,990711.7596879475
HyperLogLog2048,2048,1037834.6824968588
HyperLogLog2048,2048,983795.7752128325
HyperLogLog2048,2048,1002250.5713557964
HyperLogLog2048,2048,931279.1602391282
HyperLogLog2048,2048,995965.2642256576
HyperLogLog2048,2048,1016070.6962823226
HyperLogLog2048,2048,1015604.5519629176
HyperLogLog2048,2048,999859.5052872794
HyperLogLog2048,2048,1049407.2867138132
HyperLogLog2048,2048,1002398.94190293
HyperLogLog2048,2048,983785.7972884583
HyperLogLog2048,2048,985856.050152032
HyperLogLog2048,2048,1004237.924061983
HyperLogLog2048,2048,1010921.146571376
HyperLogLog2048,2048,1013865.885662681
HyperLogLog2048,2048,1001254.9408608129
HyperLogLog2048,2048,999837.8285334128
HyperLogLog2048,2048,987501.5897069605
HyperLogLog2048,2048,960347.0360146493
HyperLogLog2048,2048,978576.0344742317
HyperLogLog2048,2048,985046.3139784687
HyperLogLog2048,2048,1032431.1574873478
HyperLogLog2048,2048,979456.9449768118
HyperLogLog2048,2048,1048258.5606472822
HyperLogLog2048,2048,981186.0697814788
HyperLogLog2048,2048,1000998.8958666048
HyperLogLog2048,2048,1037279.6372621307
HyperLogLog2048,2048,974238.660438458
HyperLogLog2048,2048,1044632.6686882983
HyperLogLog2048,2048,1020711.3385070855
HyperLogLog2048,2048,1024564.0437039904
HyperLogLog2048,2048,1005272.0876982699
HyperLogLog2048,2048,1011185.364592167
HyperLogLog2048,2048,1032877.6328566661
HyperLogLog2048,2048,1033538.300117005
HyperLogLog2048,2048,1004281.8199971247
HyperLogLog2048,2048,1010853.6350648226
HyperLogLog2048,2048,1002466.6064834213
HyperLogLog2048,2048,962560.3910616292
HyperLogLog2048,2048,955573.6640085789
HyperLogLog2048,2048,989730.2220253656
HyperLogLog2048,2048,1005307.8661921486
HyperLogLog2048,2048,995150.4780020968
HyperLogLog2048,2048,959436.5823067875
HyperLogLog2048,2048,1029060.4536682992
HyperLogLog2048,2048,1019922.9130009135
HyperLogLog2048,2048,988157.7414415143
HyperLogLog2048,2048,987606.247787673
HyperLogLog2048,2048,1007866.2787695382
HyperLogLog2048,2048,999223.5849441019
HyperLogLog2048,2048,1000609.7845023813
HyperLogLog2048,2048,978212.7772849397
HyperLogLog2048,2048,1022001.9582319062
HyperLogLog2048,2048,1021345.7741674524
HyperLogLog2048,2048,995445.7288490239
HyperLogLog2048,2048,985927.8611967796
HyperLogLog2048,2048,1009544.9123291177
HyperLogLog2048,2048,1007257.7733976655
HyperLogLog2048,2048,978975.5682803792
HyperLogLog2048,2048,1013451.9693022578
HyperLogLog2048,2048,971670.1529579996
HyperLogLog2048,2048,999265.6657801948
HyperLogLog2048,2048,1037994.2012344127
HyperLogLog2048,2048,995551.2180427201
HyperLogLog2048,2048,1004961.9415249847
HyperLogLog2048,2048,999085.5579162458
HyperLogLog2048,2048,1021288.7160636492
HyperLogLog2048,2048,1023506.9665910372
HyperLogLog2048,2048,1002566.2183935216
